time_seconds,note_midi,confidence
54.6946,35,0.87
54.7062,47,0.85
54.7178,47,0.94
54.7294,35,0.89
54.7410,36,0.89
54.7527,36,0.88
54.9500,36,0.84
54.9616,35,0.83
54.9732,35,0.84
55.0893,36,0.85
55.1010,36,0.87
55.1126,35,0.87
55.1242,35,0.91
55.1358,35,0.92
55.1474,35,0.90
55.1590,35,0.92
55.1706,35,0.92
55.1822,35,0.88
55.1938,35,0.85
55.2054,36,0.83
55.3099,35,0.87
55.3215,35,0.90
55.3332,35,0.84
55.3912,35,0.81
55.4028,35,0.89
55.4144,35,0.90
55.4260,35,0.89
55.8324,29,0.81
56.0414,29,0.84
56.0530,29,0.80
56.0646,29,0.80
56.0762,29,0.81
56.0878,29,0.82
56.1226,29,0.82
56.4129,29,0.83
56.4245,29,0.86
56.4361,29,0.84
56.4477,29,0.86
56.4593,29,0.83
56.4941,29,0.88
56.6683,29,0.82
56.7031,29,0.83
57.2720,38,0.85
57.2836,38,0.86
57.3068,39,0.86
57.3417,38,0.84
57.3649,38,0.81
57.3765,38,0.85
57.3881,38,0.82
57.4113,37,0.80
57.4229,37,0.83
57.4346,38,0.85
57.4694,109,0.85
57.4810,109,0.90
57.4926,109,0.92
57.5623,38,0.86
57.5855,38,0.83
57.5971,38,0.84
57.6551,38,0.86
57.7480,38,0.88
58.7929,40,0.81
58.8510,40,0.81
58.8626,40,0.82
59.1993,30,0.83
59.2109,30,0.82
59.2225,30,0.88
59.2341,30,0.87
59.2457,30,0.85
59.2573,30,0.88
59.2689,30,0.90
59.2805,30,0.91
59.2922,30,0.90
59.3038,30,0.86
59.4315,31,0.85
59.4663,31,0.85
59.5360,31,0.82
59.5476,31,0.83
59.5592,31,0.82
59.7333,31,0.85
59.7449,31,0.87
59.7566,31,0.86
59.7682,31,0.86
59.9771,31,0.81
60.0468,31,0.82
60.0584,31,0.86
60.1165,43,0.81
60.1281,31,0.88
60.1397,31,0.90
60.1513,43,0.86
60.1629,31,0.81
60.1745,31,0.83
60.1861,31,0.88
60.1977,31,0.87
60.2093,31,0.88
60.2210,31,0.81
60.2790,31,0.82
60.2906,31,0.89
60.3487,31,0.82
60.3603,31,0.83
60.3835,31,0.82
60.4764,31,0.83
60.4880,31,0.87
60.4996,31,0.85
60.5112,31,0.89
60.5228,31,0.93
60.5344,43,0.88
60.5460,31,0.91
60.5576,31,0.90
60.5693,31,0.88
60.5809,43,0.89
60.5925,31,0.91
60.6041,31,0.85
60.6157,31,0.85
60.6273,31,0.88
60.6389,31,0.87
60.6505,31,0.88
60.6621,31,0.86
60.6737,31,0.87
60.6854,31,0.86
60.6970,31,0.86
60.7086,31,0.87
60.7202,31,0.85
60.7318,31,0.82
60.8711,31,0.83
60.8827,31,0.84
60.8943,31,0.84
60.9059,31,0.84
60.9408,31,0.82
60.9524,31,0.86
61.6374,35,0.80
61.6722,35,0.85
61.7883,35,0.81
61.7999,35,0.81
61.8347,35,0.82
61.8463,35,0.85
61.8580,35,0.86
61.8696,35,0.89
61.8812,35,0.91
61.8928,35,0.85
61.9044,35,0.83
62.1250,35,0.86
62.1366,35,0.82
62.3340,35,0.91
62.3456,35,0.92
62.3572,35,0.91
62.3688,35,0.89
62.4385,35,0.81
62.4501,35,0.86
62.4849,35,0.80
62.5313,35,0.83
62.5662,35,0.83
62.8912,30,0.85
62.9029,30,0.84
62.9145,30,0.82
62.9493,30,0.81
62.9957,30,0.81
63.0073,30,0.85
63.0654,30,0.85
63.0770,30,0.81
63.0886,30,0.81
63.1002,30,0.84
63.1118,30,0.87
63.1234,30,0.87
63.1583,30,0.83
63.1699,30,0.83
63.1815,30,0.85
63.1931,30,0.84
63.2047,30,0.85
63.2163,30,0.81
63.2512,42,0.82
63.2628,30,0.86
63.2744,30,0.90
63.2860,42,0.82
63.2976,42,0.82
63.3440,31,0.85
63.3556,30,0.88
63.3673,30,0.87
63.3789,30,0.82
63.3905,30,0.85
63.4137,30,0.80
63.4253,30,0.85
63.4485,30,0.82
63.4601,30,0.85
63.4717,30,0.85
63.4834,30,0.88
63.4950,30,0.88
63.5066,30,0.89
63.5182,30,0.90
63.5298,30,0.90
63.5414,30,0.90
63.5530,30,0.90
63.5646,30,0.90
63.5762,42,0.88
63.5878,30,0.84
63.5995,30,0.83
63.6111,30,0.86
63.6227,30,0.90
63.6343,30,0.91
63.6459,30,0.93
63.6575,30,0.95
63.6691,30,0.94
63.6807,30,0.91
63.6923,30,0.89
63.7039,30,0.88
63.7156,30,0.88
63.7272,30,0.82
63.7388,29,0.87
63.7504,29,0.81
65.5151,47,0.82
65.5267,47,0.86
65.5383,47,0.88
65.5499,47,0.86
65.5615,40,0.89
65.5732,40,0.89
65.5848,40,0.90
65.5964,40,0.92
65.6080,40,0.92
65.6196,47,0.85
65.6312,40,0.90
65.6428,40,0.91
65.6544,40,0.90
65.6660,40,0.88
65.6776,40,0.87
65.6893,40,0.85
65.7009,40,0.82
65.7125,40,0.83
65.7241,40,0.83
65.7357,40,0.82
65.7473,40,0.82
65.7589,40,0.82
65.7705,40,0.84
65.7821,40,0.87
65.7937,40,0.89
65.8054,40,0.89
65.8170,40,0.87
65.8286,40,0.80
66.1304,35,0.82
66.1420,47,0.86
66.1537,47,0.86
66.1653,47,0.86
66.1769,35,0.85
66.1885,47,0.84
66.2001,47,0.82
66.2117,47,0.81
66.2233,47,0.80
66.2349,47,0.80
66.4903,35,0.80
66.5020,47,0.81
66.5136,47,0.84
66.5252,35,0.85
66.5368,47,0.84
66.5484,47,0.84
66.5600,35,0.86
66.5716,47,0.85
66.5832,47,0.86
66.5948,47,0.87
66.6064,47,0.88
66.6180,47,0.88
66.6297,47,0.87
66.6413,47,0.87
66.6529,47,0.88
66.6645,47,0.88
66.6761,47,0.88
66.6877,47,0.89
66.6993,47,0.86
66.7109,47,0.85
66.7225,47,0.86
66.7341,47,0.85
66.7458,47,0.87
66.7574,47,0.89
66.7690,47,0.87
66.7806,47,0.86
66.7922,47,0.86
66.8038,47,0.87
66.8154,47,0.86
66.8270,47,0.87
66.8386,47,0.88
66.8502,47,0.87
66.8619,35,0.85
66.8735,35,0.86
66.8851,35,0.86
66.8967,35,0.86
66.9083,35,0.86
66.9199,47,0.85
66.9315,47,0.83
67.0012,47,0.81
67.5468,40,0.82
67.5585,40,0.84
67.5701,40,0.89
67.5817,40,0.87
67.5933,40,0.84
67.6049,40,0.83
67.6165,40,0.82
67.8255,37,0.82
67.8371,37,0.83
67.8487,37,0.88
67.8603,37,0.84
67.8719,37,0.81
67.8835,37,0.86
67.8951,37,0.85
67.9648,37,0.85
67.9764,37,0.85
67.9880,37,0.86
67.9996,38,0.88
68.0112,37,0.86
68.0229,37,0.85
68.0577,38,0.88
71.0182,39,0.80
71.0298,39,0.82
71.0415,39,0.93
71.0531,39,0.98
71.0647,39,0.98
71.0763,40,0.93
71.0879,41,0.93
78.1003,50,0.94
78.1119,50,0.97
78.1235,50,0.98
78.1351,50,0.99
78.1468,50,1.00
78.1584,50,1.00
78.1700,50,1.00
78.1816,50,1.00
78.1932,50,1.00
78.2048,50,1.00
78.2164,50,1.00
78.2280,50,1.00
78.2396,50,1.00
78.2512,50,1.00
78.2629,50,1.00
78.2745,50,1.00
78.2861,50,1.00
78.2977,50,1.00
78.3093,50,1.00
78.3209,50,1.00
78.3325,50,1.00
78.3441,50,1.00
78.3557,50,1.00
78.3673,50,1.00
78.3790,50,1.00
78.3906,50,1.00
78.4022,50,0.99
78.4138,50,0.99
78.4254,50,0.98
78.4370,50,0.98
78.4486,50,0.98
78.4602,50,0.94
78.4718,50,0.85
78.4834,38,0.91
78.4951,50,0.85
78.5067,50,0.85
78.5183,38,0.92
78.5299,38,0.90
78.5415,38,0.86
78.5531,31,0.98
78.5647,38,0.88
78.5763,50,0.86
78.5879,50,0.93
78.5995,50,0.93
78.6112,50,0.93
78.6228,50,0.85
78.6344,31,0.93
78.6460,31,0.91
78.6576,31,0.88
78.6692,38,0.81
78.7040,38,0.86
78.7156,38,0.90
78.9478,33,0.86
78.9595,33,0.87
78.9711,33,0.81
78.9827,32,0.82
79.1104,43,0.90
79.1220,43,0.93
79.1336,43,0.87
79.1800,43,0.86
79.1917,43,0.90
79.2033,43,0.87
79.2149,31,0.92
79.2265,31,0.92
79.2381,31,0.91
79.2497,43,0.86
79.5167,37,0.88
79.5864,42,0.81
79.5980,42,0.85
79.9695,45,0.89
79.9811,45,0.88
79.9927,45,0.88
80.0044,45,0.95
80.0160,45,0.97
80.0276,45,0.97
80.0392,45,0.96
80.0508,45,0.95
80.0624,45,0.94
80.0740,45,0.95
80.0856,45,0.97
80.0972,45,0.97
80.1088,45,0.93
80.1205,45,0.91
80.1321,45,0.90
80.4455,36,0.83
80.4688,29,0.80
80.4804,36,0.87
80.4920,29,0.86
80.5036,29,0.84
80.5152,36,0.86
80.5268,35,0.85
80.5616,48,0.83
80.6777,40,0.88
80.6893,39,0.88
80.7358,37,0.87
80.8867,32,0.83
80.9332,31,0.88
80.9448,31,0.91
80.9564,31,0.96
80.9680,32,0.91
80.9796,31,0.87
80.9912,31,0.90
81.2234,47,0.81
81.3163,39,0.89
81.3627,38,0.92
81.3859,41,0.84
81.3976,40,0.82
81.4092,40,0.94
81.4208,40,0.94
81.6298,39,0.81
81.6414,38,0.84
81.6878,34,0.86
81.6994,34,0.85
81.7807,33,0.88
81.7923,32,0.94
81.8039,33,0.93
81.8155,33,0.94
81.8387,33,0.97
81.8503,34,0.96
82.2683,50,0.95
82.2799,50,0.95
82.2915,50,0.94
82.3031,50,0.96
82.3147,50,0.99
82.3263,50,0.99
82.3380,50,0.98
82.3496,50,0.98
82.3612,50,0.96
82.3728,50,0.98
82.3844,50,0.99
82.3960,50,0.99
82.4076,50,1.00
82.4192,50,1.00
82.4308,50,1.00
82.4424,50,1.00
82.4541,50,1.00
